Date,Open,High,Low,Close
23-October-2018,14155.05,14182.74,13761.80,13795.59,
24-October-2018,13886.81,13926.90,13626.97,13765.56,
25-October-2018,13632.78,13853.77,13558.87,13759.80,
26-October-2018,13744.69,13760.87,13453.25,13477.25,
29-October-2018,13537.86,13869.58,13416.14,13801.20,
30-October-2018,13762.14,14102.66,13699.25,14036.71,
31-October-2018,14115.33,14575.27,14084.06,14531.60,
1-November-2018,14611.39,14616.86,14180.78,14273.37,
2-November-2018,14292.17,14412.34,14067.28,14085.44,
5-November-2018,14077.64,14187.90,14044.71,14088.24,
6-November-2018,14148.78,14309.01,14113.11,14228.40,
7-November-2018,14340.68,14384.28,14316.60,14356.16,
9-November-2018,14407.16,14453.84,14141.14,14185.47,
12-November-2018,14226.04,14437.74,14217.47,14250.40,
13-November-2018,14288.12,14337.63,14157.03,14306.15,
14-November-2018,14334.49,14334.49,13862.74,13986.21,
15-November-2018,13962.11,14171.44,13896.45,13976.42,
16-November-2018,14105.49,14111.57,13933.35,14019.40,
19-November-2018,14093.88,14141.24,13989.19,14107.15,
20-November-2018,14094.45,14110.35,13849.47,13862.09,
21-November-2018,13866.66,13867.36,13383.09,13457.03,
22-November-2018,13522.23,13654.63,13420.07,13443.54,
26-November-2018,13497.58,13645.99,13178.60,13573.90,
27-November-2018,13666.50,13832.49,13584.82,13800.27,
28-November-2018,13866.35,14318.36,13838.51,14294.79,
29-November-2018,14413.57,14438.88,14132.18,14151.49,
30-November-2018,14172.70,14360.12,14172.70,14296.74,
3-December-2018,14365.39,14466.11,14298.96,14383.79,
4-December-2018,14420.01,14659.75,14382.54,14629.32,
5-December-2018,14590.18,14647.80,14437.13,14604.52,
6-December-2018,14531.46,14670.57,14315.54,14361.01,
7-December-2018,14390.24,14444.76,14221.29,14407.42,
10-December-2018,14317.04,14442.73,14132.57,14176.98,
11-December-2018,14151.63,14431.99,14077.42,14345.52,
12-December-2018,14353.73,14506.83,14306.10,14488.50,
13-December-2018,14504.86,14646.05,14443.55,14603.08,
14-December-2018,14596.35,14729.70,14543.33,14663.55,
17-December-2018,14747.71,14766.11,14583.32,14611.91,
18-December-2018,14628.25,14628.25,14409.61,14453.42,
19-December-2018,14436.46,14436.46,14216.40,14300.38,
20-December-2018,14264.03,14336.03,14195.53,14268.12,
21-December-2018,14223.77,14223.89,13851.59,13893.80,
24-December-2018,14021.47,14084.71,13935.02,13963.93,
26-December-2018,13960.51,13971.15,13739.58,13860.71,
27-December-2018,13976.14,14156.22,13971.48,14043.29,
28-December-2018,14093.42,14128.89,14042.43,14052.06,
31-December-2018,14078.02,14141.28,14053.13,14089.56,
1-January-2019,14135.84,14170.84,14026.64,14142.86,
2-January-2019,14168.24,14295.44,14110.51,14182.96,
3-January-2019,14178.34,14292.68,14035.86,14056.28,
4-January-2019,14103.19,14112.23,13712.99,13894.84,
7-January-2019,13997.51,14135.11,13958.71,14048.49,
8-January-2019,14082.30,14137.18,14016.73,14039.38,
9-January-2019,14216.23,14274.93,13923.70,14084.92,
10-January-2019,14166.54,14168.49,14062.59,14103.58,
11-January-2019,14113.64,14113.64,13915.58,14048.26,
14-January-2019,14265.61,14289.72,14035.18,14060.87,
15-January-2019,14111.24,14513.92,14111.24,14484.83,
16-January-2019,14506.86,14592.95,14473.08,14579.15,
17-January-2019,14587.25,14660.55,14531.23,14649.86,
18-January-2019,14616.21,14697.18,14543.05,14670.87,
21-January-2019,14681.02,14915.26,14668.56,14764.45,
22-January-2019,14757.31,14805.52,14648.57,14768.96,
23-January-2019,14771.09,14772.70,14605.65,14643.92,
24-January-2019,14669.79,14811.58,14582.27,14755.21,
25-January-2019,14728.23,14901.21,14688.32,14784.37,
28-January-2019,14842.93,14901.82,14742.19,14847.07,
29-January-2019,14864.03,14991.88,14714.71,14943.81,
30-January-2019,14984.73,15053.16,14886.26,14945.87,
31-January-2019,15018.55,15275.97,15001.61,15264.10,
1-February-2019,15274.90,15455.97,15232.97,15433.98,
4-February-2019,15418.23,15520.44,15345.78,15452.04,
5-February-2019,15445.27,15528.74,15355.29,15438.78,
6-February-2019,15498.32,15725.04,15492.38,15692.72,
7-February-2019,15683.01,15809.62,15666.10,15710.64,
8-February-2019,15709.20,15776.48,15588.33,15624.07,
11-February-2019,15625.79,15753.50,15618.17,15655.40,
12-February-2019,15682.18,15683.18,15345.28,15508.70,
13-February-2019,15512.07,15655.78,15465.81,15612.43,
14-February-2019,15589.22,15589.22,15386.90,15411.92,
15-February-2019,15411.04,15483.10,15231.37,15378.44,
18-February-2019,15418.70,15487.60,15179.31,15202.41,
19-February-2019,15187.84,15188.01,14837.11,14884.98,
20-February-2019,14935.14,15136.26,14906.49,15098.72,
21-February-2019,15110.08,15152.06,14979.64,15049.83,
