Date,Open,High,Low,Close
2-April-2019,209.60,209.74,207.25,207.98,
3-April-2019,208.62,209.34,206.13,206.49,
4-April-2019,207.21,207.34,204.10,204.92,
5-April-2019,205.44,206.63,205.14,205.82,
8-April-2019,206.43,207.57,204.52,205.41,
9-April-2019,205.61,205.72,203.76,205.32,
10-April-2019,205.41,206.68,204.30,204.57,
11-April-2019,204.83,205.57,204.31,205.21,
12-April-2019,205.75,207.19,205.66,207.11,
15-April-2019,207.13,207.95,206.95,207.30,
16-April-2019,207.66,209.57,207.66,209.33,
18-April-2019,210.06,210.32,207.08,207.34,
22-April-2019,207.07,207.08,203.89,204.30,
23-April-2019,204.58,204.80,203.25,204.14,
24-April-2019,204.48,205.82,204.12,205.59,
25-April-2019,206.33,207.21,204.72,205.12,
26-April-2019,205.59,206.05,204.79,205.46,
30-April-2019,205.47,205.90,202.78,204.10,
2-May-2019,204.45,205.08,203.60,204.08,
3-May-2019,204.23,205.74,203.70,203.92,
6-May-2019,203.12,203.66,201.72,202.06,
7-May-2019,202.53,203.03,200.59,200.78,
8-May-2019,200.44,200.76,198.15,198.49,
9-May-2019,198.33,198.36,195.99,197.10,
10-May-2019,197.54,198.40,196.87,197.41,
13-May-2019,197.70,197.70,191.88,192.34,
14-May-2019,192.30,194.95,190.95,194.22,
15-May-2019,194.57,195.54,192.22,192.61,
16-May-2019,192.67,195.01,191.96,194.32,
17-May-2019,194.56,195.44,192.78,194.96,
20-May-2019,200.01,206.79,200.01,206.26,
21-May-2019,207.23,207.79,203.25,203.90,
22-May-2019,204.92,205.92,203.38,205.41,
23-May-2019,208.86,213.56,206.04,206.85,
24-May-2019,207.97,211.84,207.34,211.60,
27-May-2019,213.34,216.25,212.21,215.91,
28-May-2019,217.30,218.08,214.70,215.88,
29-May-2019,216.10,216.10,213.33,213.85,
30-May-2019,214.36,215.62,213.96,215.36,
31-May-2019,214.50,214.60,210.13,212.57,
3-June-2019,213.18,214.57,211.73,214.33,
4-June-2019,214.59,215.90,214.00,214.26,
6-June-2019,213.89,214.22,209.92,210.85,
7-June-2019,210.89,211.76,209.22,210.04,
10-June-2019,210.95,211.89,208.94,209.11,
11-June-2019,209.67,210.52,208.56,210.03,
12-June-2019,209.95,210.86,208.99,209.51,
13-June-2019,209.51,210.02,208.06,209.64,
14-June-2019,210.11,210.50,208.92,209.42,
17-June-2019,209.57,209.64,206.01,206.40,
18-June-2019,207.16,207.63,206.30,207.06,
19-June-2019,207.49,208.41,204.18,205.64,
20-June-2019,205.04,208.27,204.41,207.80,
21-June-2019,208.28,209.12,206.70,207.36,
24-June-2019,207.45,207.92,206.35,206.83,
25-June-2019,207.08,208.36,206.38,208.02,
26-June-2019,207.81,211.41,207.74,211.20,
27-June-2019,211.65,212.72,210.49,211.34,
