Date,Open,High,Low,Close
23-January-2019,172.71,173.01,171.25,171.59,
24-January-2019,171.60,172.15,171.10,171.87,
25-January-2019,172.16,173.07,170.03,170.48,
28-January-2019,170.73,170.83,167.67,168.15,
29-January-2019,168.36,168.77,167.11,168.19,
30-January-2019,169.10,169.22,167.89,168.41,
31-January-2019,169.36,171.57,169.15,171.46,
1-February-2019,171.81,173.68,170.76,172.21,
4-February-2019,172.20,172.68,170.83,172.54,
5-February-2019,172.55,173.21,172.13,172.62,
6-February-2019,173.27,174.65,173.03,174.47,
7-February-2019,174.72,175.64,174.45,174.83,
8-February-2019,174.32,174.38,172.54,172.82,
11-February-2019,172.88,172.89,171.35,171.62,
12-February-2019,171.70,171.96,170.71,170.88,
13-February-2019,171.37,171.60,169.64,170.00,
14-February-2019,170.06,170.23,169.15,169.56,
15-February-2019,169.80,170.00,167.03,168.62,
18-February-2019,168.79,169.09,166.92,167.09,
19-February-2019,167.29,168.43,166.27,166.56,
20-February-2019,167.26,168.93,167.15,168.75,
21-February-2019,169.14,169.96,168.58,169.60,
22-February-2019,169.61,170.03,169.22,169.77,
25-February-2019,170.17,171.52,170.02,171.37,
26-February-2019,170.26,171.67,168.88,170.77,
27-February-2019,171.46,172.61,169.62,170.33,
28-February-2019,170.99,171.31,170.10,170.24,
1-March-2019,171.01,171.53,170.69,171.26,
5-March-2019,171.54,173.48,170.88,173.39,
6-March-2019,173.97,174.40,173.53,174.20,
7-March-2019,174.69,174.73,173.82,174.15,
8-March-2019,174.24,174.24,173.28,173.67,
11-March-2019,173.97,176.31,173.95,176.06,
12-March-2019,177.08,178.38,177.00,178.05,
13-March-2019,178.35,178.95,177.73,178.72,
14-March-2019,179.23,179.32,178.19,178.53,
15-March-2019,178.91,180.53,178.87,179.59,
18-March-2019,180.13,181.17,179.41,180.20,
19-March-2019,180.71,181.52,180.15,181.35,
20-March-2019,181.61,181.88,180.94,181.20,
22-March-2019,181.45,181.94,179.40,179.68,
25-March-2019,178.97,178.97,177.51,178.12,
26-March-2019,178.54,180.76,178.20,180.44,
27-March-2019,181.06,181.61,179.58,180.11,
28-March-2019,180.51,182.23,180.20,181.99,
29-March-2019,182.65,183.20,182.26,182.99,
1-April-2019,183.88,185.14,183.53,183.91,
2-April-2019,184.54,184.62,183.55,184.36,
3-April-2019,184.88,185.24,183.04,183.29,
4-April-2019,183.58,183.66,181.64,182.31,
5-April-2019,183.03,183.75,182.48,183.32,
8-April-2019,183.90,184.07,181.61,182.32,
9-April-2019,182.51,183.42,181.57,183.23,
10-April-2019,183.11,183.53,181.77,181.96,
11-April-2019,182.11,182.24,181.28,182.05,
12-April-2019,182.40,182.96,181.93,182.71,
15-April-2019,182.90,183.94,182.76,183.76,
16-April-2019,184.34,185.62,184.34,185.26,
18-April-2019,186.07,186.32,184.52,184.87,
22-April-2019,184.88,184.88,182.11,182.38,
23-April-2019,182.89,183.34,181.95,182.15,
24-April-2019,182.54,184.28,182.06,184.10,
25-April-2019,184.26,185.08,182.50,182.77,
26-April-2019,183.39,184.58,183.00,184.37,
30-April-2019,184.25,184.29,182.55,183.97,
2-May-2019,184.00,184.57,182.83,183.08,
3-May-2019,183.16,183.73,182.68,182.90,
6-May-2019,181.75,181.82,180.69,181.01,
7-May-2019,181.97,182.08,179.00,179.23,
8-May-2019,179.11,179.13,176.79,176.99,
9-May-2019,176.87,177.07,175.52,176.08,
10-May-2019,176.47,176.98,175.32,175.77,
13-May-2019,175.87,176.12,173.39,173.73,
14-May-2019,173.85,175.83,173.14,174.72,
15-May-2019,175.59,175.81,173.24,173.55,
16-May-2019,173.75,175.81,173.45,175.24,
17-May-2019,175.54,177.38,175.23,177.13,
20-May-2019,180.91,183.64,180.10,183.46,
21-May-2019,184.02,184.17,180.91,181.31,
22-May-2019,182.01,182.46,180.98,181.69,
23-May-2019,184.00,186.59,180.18,180.90,
24-May-2019,182.05,184.25,180.98,184.09,
27-May-2019,184.45,185.49,183.52,185.01,
28-May-2019,185.54,185.99,184.66,185.72,
29-May-2019,185.62,185.62,184.18,184.49,
30-May-2019,184.94,186.08,184.60,185.76,
31-May-2019,186.64,187.28,183.96,185.76,
3-June-2019,186.00,188.60,185.54,188.40,
4-June-2019,188.06,188.59,187.08,187.28,
6-June-2019,187.42,187.48,184.31,184.47,
7-June-2019,184.71,185.18,183.13,184.77,
10-June-2019,185.58,186.53,184.89,185.61,
11-June-2019,186.11,187.01,185.29,186.55,
12-June-2019,186.61,186.64,184.96,185.45,
13-June-2019,185.19,185.66,183.88,185.40,
14-June-2019,185.57,185.57,183.41,183.80,
17-June-2019,184.01,184.15,181.08,181.28,
18-June-2019,181.60,182.25,180.91,181.69,
19-June-2019,182.37,183.35,180.28,181.33,
20-June-2019,180.81,183.94,180.23,183.76,
21-June-2019,183.70,183.77,182.10,182.47,
24-June-2019,182.39,182.88,181.79,182.23,
25-June-2019,182.17,184.07,181.28,183.84,
26-June-2019,183.54,184.97,183.24,184.60,
27-June-2019,184.76,185.57,184.36,184.70,
28-June-2019,184.89,185.19,183.50,183.73,
1-July-2019,184.30,185.60,184.30,185.36,
2-July-2019,185.87,186.31,184.63,186.20,
3-July-2019,186.57,186.70,185.92,186.24,
4-July-2019,186.64,187.00,186.32,186.65,
5-July-2019,187.07,187.27,183.93,184.25,
8-July-2019,183.96,183.96,180.16,180.62,
9-July-2019,180.53,180.75,178.74,180.26,
10-July-2019,180.04,180.93,179.14,179.42,
11-July-2019,180.37,181.25,179.91,181.04,
12-July-2019,181.55,182.22,180.72,180.91,
15-July-2019,182.25,182.32,180.87,182.01,
16-July-2019,182.31,183.28,181.71,183.19,
17-July-2019,183.37,183.88,182.94,183.62,
18-July-2019,183.51,183.62,182.02,182.17,
19-July-2019,182.94,182.95,179.04,179.33,
22-July-2019,179.37,179.37,177.30,178.14,
23-July-2019,178.53,178.59,176.95,177.31,
24-July-2019,177.37,177.96,175.61,176.09,
25-July-2019,176.46,177.65,175.97,176.25,
26-July-2019,176.17,176.80,175.57,176.42,
29-July-2019,176.67,176.67,173.91,174.75,
30-July-2019,174.97,175.90,172.49,172.70,
31-July-2019,172.17,173.57,171.26,173.13,
1-August-2019,172.67,172.67,169.43,170.93,
2-August-2019,170.52,172.81,169.07,171.60,
5-August-2019,170.46,170.49,168.64,169.83,
6-August-2019,169.08,172.15,168.93,171.08,
7-August-2019,171.30,171.56,169.31,169.66,
8-August-2019,170.10,172.71,169.27,172.39,
9-August-2019,173.26,174.89,172.81,173.76,
13-August-2019,174.70,174.77,170.82,171.13,
14-August-2019,172.52,173.21,171.27,172.59,
16-August-2019,172.86,172.91,170.79,172.54,
19-August-2019,173.28,174.11,172.52,172.73,
20-August-2019,173.02,173.25,171.89,172.42,
21-August-2019,172.27,172.81,170.92,171.17,
22-August-2019,171.28,171.28,168.05,168.41,
23-August-2019,168.25,170.46,167.01,170.18,
26-August-2019,173.11,173.69,169.03,173.41,
27-August-2019,174.12,174.48,173.27,174.00,
28-August-2019,174.11,174.30,172.14,173.02,
29-August-2019,172.77,172.77,171.24,171.60,
30-August-2019,172.30,173.26,170.74,172.98,
3-September-2019,172.18,172.20,169.22,169.66,
4-September-2019,169.72,170.30,168.52,170.10,
5-September-2019,170.89,171.23,169.83,170.21,
6-September-2019,170.62,172.05,170.45,171.88,
9-September-2019,171.91,173.02,170.99,172.74,
11-September-2019,173.17,173.81,172.98,173.60,
12-September-2019,173.83,174.22,172.47,172.68,
13-September-2019,172.84,174.07,171.96,173.95,
16-September-2019,173.04,173.72,172.37,172.89,
17-September-2019,173.21,173.21,169.72,169.98,
18-September-2019,170.57,171.05,169.85,170.37,
19-September-2019,170.61,170.61,167.83,168.39,
20-September-2019,168.97,178.93,168.24,177.43,
23-September-2019,180.71,182.74,179.37,181.08,
24-September-2019,181.41,182.19,180.47,181.27,
25-September-2019,181.18,181.18,178.27,178.70,
26-September-2019,179.15,181.06,179.04,180.25,
27-September-2019,180.52,180.63,179.15,179.33,
30-September-2019,179.55,179.55,177.12,178.22,
1-October-2019,178.91,179.21,174.48,176.49,
3-October-2019,175.79,176.21,174.57,175.14,
4-October-2019,176.43,176.54,173.10,173.28,
7-October-2019,174.13,174.31,172.63,172.87,
9-October-2019,173.14,176.11,172.08,175.98,
10-October-2019,175.91,175.91,174.33,174.65,
11-October-2019,175.03,176.48,173.73,175.68,
14-October-2019,175.95,177.43,175.39,176.16,
15-October-2019,176.33,177.85,176.10,177.33,
16-October-2019,178.00,178.21,177.10,177.94,
17-October-2019,178.23,180.55,177.73,180.31,
18-October-2019,180.53,181.90,179.94,181.79,
22-October-2019,181.55,182.17,179.68,179.87,
23-October-2019,180.21,180.73,179.18,179.97,
24-October-2019,180.37,180.96,178.68,179.61,
25-October-2019,180.16,180.27,177.75,179.32,
27-October-2019,180.91,180.92,179.85,180.15,
29-October-2019,180.40,183.22,180.15,182.85,
30-October-2019,183.90,184.27,182.70,183.82,
31-October-2019,184.47,185.90,184.36,184.83,
1-November-2019,185.04,185.50,184.35,185.12,
4-November-2019,185.77,186.64,185.21,185.75,
5-November-2019,186.40,186.51,184.48,185.25,
6-November-2019,185.35,186.52,184.24,185.91,
7-November-2019,186.67,187.17,186.00,187.04,
8-November-2019,186.94,187.25,184.77,185.08,
11-November-2019,185.10,185.41,184.46,185.15,
13-November-2019,185.20,185.89,183.97,184.24,
14-November-2019,184.35,185.03,183.65,184.60,
15-November-2019,185.24,186.18,185.00,185.17,
18-November-2019,185.47,185.88,184.74,185.05,
19-November-2019,185.89,186.52,185.16,186.21,
20-November-2019,187.37,188.04,186.71,187.26,
21-November-2019,187.56,187.64,186.43,186.62,
22-November-2019,186.84,186.84,185.23,185.71,
25-November-2019,186.25,188.78,186.11,188.63,
26-November-2019,189.20,189.58,187.48,187.74,
27-November-2019,188.49,189.47,188.27,189.28,
28-November-2019,189.86,190.00,189.12,189.82,
29-November-2019,190.01,190.02,187.74,188.32,
2-December-2019,189.65,189.70,187.96,188.48,
3-December-2019,188.80,188.87,187.06,187.54,
4-December-2019,187.12,188.28,186.33,188.13,
5-December-2019,188.72,188.79,187.15,187.47,
6-December-2019,188.21,188.21,185.31,185.78,
9-December-2019,186.27,186.99,185.36,186.19,
10-December-2019,186.61,186.61,184.59,184.74,
11-December-2019,184.95,185.80,184.18,185.56,
12-December-2019,186.23,187.33,186.02,186.74,
13-December-2019,187.53,189.01,187.44,188.80,
16-December-2019,189.49,189.59,188.27,188.37,
17-December-2019,188.89,190.53,188.63,190.31,
18-December-2019,190.64,191.64,190.44,191.38,
19-December-2019,191.46,192.26,190.95,192.02,
20-December-2019,192.31,192.59,191.98,192.38,
23-December-2019,191.70,192.60,191.58,192.42,
24-December-2019,192.65,192.76,191.51,191.66,
26-December-2019,192.08,192.08,190.19,190.33,
27-December-2019,190.98,192.31,190.83,192.12,
30-December-2019,192.68,192.78,191.73,192.40,
31-December-2019,192.59,192.60,190.79,191.08,
1-January-2020,191.45,191.92,191.02,191.29,
2-January-2020,191.50,193.07,191.45,192.95,
3-January-2020,192.97,192.98,191.56,192.14,
6-January-2020,191.63,191.63,187.84,188.21,
7-January-2020,189.66,190.92,188.65,189.52,
8-January-2020,188.10,189.49,187.57,189.20,
9-January-2020,191.05,192.17,190.85,192.03,
10-January-2020,192.66,193.71,192.09,192.86,
13-January-2020,193.72,194.25,193.47,194.17,
14-January-2020,194.35,194.86,193.98,194.64,
15-January-2020,194.75,194.75,193.36,194.41,
16-January-2020,194.67,195.09,193.95,194.65,
17-January-2020,194.69,195.22,194.33,194.89,
20-January-2020,196.24,196.24,192.11,192.24,
21-January-2020,192.05,192.22,191.16,191.48,
22-January-2020,191.91,192.42,190.32,190.62,
23-January-2020,190.91,191.84,190.53,191.72,
24-January-2020,191.71,193.12,191.22,192.62,
27-January-2020,191.95,191.95,190.05,190.25,
28-January-2020,190.95,191.07,189.04,189.46,
29-January-2020,190.21,191.14,190.21,190.59,
30-January-2020,191.35,191.35,188.25,188.54,
31-January-2020,189.73,189.78,187.30,187.52,
1-February-2020,187.50,188.36,182.90,183.40,
3-February-2020,183.41,184.83,182.72,184.07,
4-February-2020,185.47,188.49,185.22,188.37,
5-February-2020,189.06,190.52,188.10,190.33,
6-February-2020,190.71,191.74,190.21,191.40,
7-February-2020,191.61,191.69,190.56,191.00,
10-February-2020,191.19,191.19,189.20,190.20,
11-February-2020,191.02,192.20,190.99,191.14,
12-February-2020,191.70,193.03,191.62,192.23,
13-February-2020,192.95,192.98,191.43,192.01,
14-February-2020,192.14,193.06,190.48,190.78,
17-February-2020,191.27,191.59,189.68,189.79,
18-February-2020,189.71,189.71,187.40,188.86,
19-February-2020,189.97,191.10,189.66,190.94,
20-February-2020,191.03,191.75,190.26,190.40,
24-February-2020,189.84,189.84,186.40,186.69,
25-February-2020,187.43,187.53,185.93,186.22,
26-February-2020,185.76,186.10,183.77,184.38,
27-February-2020,184.61,184.61,182.09,183.75,
28-February-2020,180.84,180.84,175.94,176.33,
